field,raw_value,canonical_value
AIRPORT_ID,KPHX,KPHX
AIRPORT_ID,KBGR,KBGR
AIRPORT_ID,KOWD,KOWD
AIRPORT_ID,KSJT,KSJT
AIRPORT_ID,PAMR,PAMR
AIRPORT_ID,KHIO,KHIO
AIRPORT_ID,KAGC,KAGC
AIRPORT_ID,KTYS,KTYS
AIRPORT_ID,KSTP,KSTP
AIRPORT_ID,CYYZ,CYYZ
AIRPORT_ID,KGYY,KGYY
AIRPORT_ID,KEVV,KEVV
AIRPORT_ID,1G3,1G3
AIRPORT_ID,KCLL,KCLL
AIRPORT_ID,KPOC,KPOC
AIRPORT_ID,TIST,TIST
AIRPORT_ID,KLOU,KLOU
AIRPORT_ID,KOTM,KOTM
AIRPORT_ID,KFAT,KFAT
AIRPORT_ID,KBWC,KBWC
AIRPORT_ID,PAOM,PAOM
AIRPORT_ID,KRHV,KRHV
AIRPORT_ID,KMMU,KMMU
AIRPORT_ID,OR81,OR81
AIRPORT_ID,KTTN,KTTN
AIRPORT_ID,PJON,PJON
AIRPORT_ID,KSLE,KSLE
AIRPORT_ID,KMWC,KMWC
AIRPORT_ID,KDLH,KDLH
AIRPORT_ID,KROG,KROG
AIRPORT_ID,KILG,KILG
AIRPORT_ID,KFAR,KFAR
AIRPORT_ID,KTDF,KTDF
AIRPORT_ID,KSGF,KSGF
AIRPORT_ID,KARV,KARV
AIRPORT_ID,KTYR,KTYR
AIRPORT_ID,KFWA,KFWA
AIRPORT_ID,KHLG,KHLG
AIRPORT_ID,KCKN,KCKN
AIRPORT_ID,KDRM,KDRM
AIRPORT_ID,CYUL,CYUL
AIRPORT_ID,KSFB,KSFB
AIRPORT_ID,KBVY,KBVY
AIRPORT_ID,KYNG,KYNG
AIRPORT_ID,KSGJ,KSGJ
AIRPORT_ID,KMFE,KMFE
AIRPORT_ID,KLWM,KLWM
AIRPORT_ID,KBTV,KBTV
AIRPORT_ID,KCMI,KCMI
AIRPORT_ID,KMSL,KMSL
AIRPORT_ID,KDUJ,KDUJ
AIRPORT_ID,KMAF,KMAF
AIRPORT_ID,KVNY,KVNY
AIRPORT_ID,KAPC,KAPC
AIRPORT_ID,MDSD,MDSD
AIRPORT_ID,KFNT,KFNT
AIRPORT_ID,KAPA,KAPA
AIRPORT_ID,KSUX,KSUX
AIRPORT_ID,KTLH,KTLH
AIRPORT_ID,KVIS,KVIS
AIRPORT_ID,KTUP,KTUP
AIRPORT_ID,KSPS,KSPS
AIRPORT_ID,KIPT,KIPT
AIRPORT_ID,KSNS,KSNS
AIRPORT_ID,KFTW,KFTW
AIRPORT_ID,KBOI,KBOI
AIRPORT_ID,KARA,KARA
AIRPORT_ID,PAYA,PAYA
AIRPORT_ID,KRWI,KRWI
AIRPORT_ID,KSAC,KSAC
AIRPORT_ID,KGSP,KGSP
AIRPORT_ID,KRQB,KRQB
AIRPORT_ID,KORH,KORH
AIRPORT_ID,KHTS,KHTS
AIRPORT_ID,KHDN,KHDN
AIRPORT_ID,W48,W48
AIRPORT_ID,MMMX,MMMX
AIRPORT_ID,KOQU,KOQU
AIRPORT_ID,KMGM,KMGM
AIRPORT_ID,KBRO,KBRO
AIRPORT_ID,KAUM,KAUM
AIRPORT_ID,KPAE,KPAE
AIRPORT_ID,KCOS,KCOS
AIRPORT_ID,KMYR,KMYR
AIRPORT_ID,KOSU,KOSU
AIRPORT_ID,KMSS,KMSS
AIRPORT_ID,KBIL,KBIL
AIRPORT_ID,TJPS,TJPS
AIRPORT_ID,KCPS,KCPS
AIRPORT_ID,3MY,3MY
AIRPORT_ID,KATW,KATW
AIRPORT_ID,KOEO,KOEO
AIRPORT_ID,KFOE,KFOE
AIRPORT_ID,KLEX,KLEX
AIRPORT_ID,KHVN,KHVN
AIRPORT_ID,6A2,6A2
AIRPORT_ID,MPTO,MPTO
AIRPORT_ID,KTBR,KTBR
AIRPORT_ID,KGGG,KGGG
AIRPORT_ID,KCEC,KCEC
AIRPORT_ID,KILE,KILE
AIRPORT_ID,KJKA,KJKA
AIRPORT_ID,KSDM,KSDM
AIRPORT_ID,KTVF,KTVF
AIRPORT_ID,SEGU,SEGU
AIRPORT_ID,KMCD,KMCD
AIRPORT_ID,MDPP,MDPP
AIRPORT_ID,KMKG,KMKG
AIRPORT_ID,KOXC,KOXC
AIRPORT_ID,M34,M34
AIRPORT_ID,KLVK,KLVK
AIRPORT_ID,KCWA,KCWA
AIRPORT_ID,KMAC,KMAC
AIRPORT_ID,KCDW,KCDW
AIRPORT_ID,KMCB,KMCB
AIRPORT_ID,KDET,KDET
AIRPORT_ID,YSSY,YSSY
AIRPORT_ID,MKJS,MKJS
AIRPORT_ID,KHIG,KHIG
AIRPORT_ID,KRMG,KRMG
AIRPORT_ID,KWAL,KWAL
AIRPORT_ID,5KE,5KE
AIRPORT_ID,KANE,KANE
AIRPORT_ID,H2O,H2O
AIRPORT_ID,KSBP,KSBP
AIRPORT_ID,PABE,PABE
AIRPORT_ID,KABI,KABI
AIRPORT_ID,KFPR,KFPR
AIRPORT_ID,KEKA,KEKA
AIRPORT_ID,MPHO,MPHO
AIRPORT_ID,KUKF,KUKF
AIRPORT_ID,KLNS,KLNS
AIRPORT_ID,KSLN,KSLN
AIRPORT_ID,SAEZ,SAEZ
AIRPORT_ID,S50,S50
AIRPORT_ID,KLWB,KLWB
AIRPORT_ID,KPNE,KPNE
AIRPORT_ID,PASD,PASD
AIRPORT_ID,26N,26N
AIRPORT_ID,KJVL,KJVL
AIRPORT_ID,RIGG,RIGG
AIRPORT_ID,PHKO,PHKO
AIRPORT_ID,KCNO,KCNO
AIRPORT_ID,KMVY,KMVY
AIRPORT_ID,MMPR,MMPR
AIRPORT_ID,I41,I41
AIRPORT_ID,KTXK,KTXK
AIRPORT_ID,KDEC,KDEC
AIRPORT_ID,KEWN,KEWN
AIRPORT_ID,PAEN,PAEN
AIRPORT_ID,KCIC,KCIC
AIRPORT_ID,KASW,KASW
AIRPORT_ID,PADQ,PADQ
AIRPORT_ID,KEDW,KEDW
AIRPORT_ID,KCGF,KCGF
AIRPORT_ID,KHMT,KHMT
AIRPORT_ID,KRNP,KRNP
AIRPORT_ID,Z41,Z41
AIRPORT_ID,KLWS,KLWS
AIRPORT_ID,KBWG,KBWG
AIRPORT_ID,KBMG,KBMG
AIRPORT_ID,CYVR,CYVR
AIRPORT_ID,KMGW,KMGW
AIRPORT_ID,KESF,KESF
AIRPORT_ID,KACK,KACK
AIRPORT_ID,KCKB,KCKB
AIRPORT_ID,KPKB,KPKB
AIRPORT_ID,0B8,0B8
AIRPORT_ID,M19,M19
AIRPORT_ID,KBJI,KBJI
AIRPORT_ID,KCWF,KCWF
AIRPORT_ID,KEYE,KEYE
AIRPORT_ID,KOAJ,KOAJ
AIRPORT_ID,KINL,KINL
AIRPORT_ID,3TR,3TR
AIRPORT_ID,TNCA,TNCA
AIRPORT_ID,XS90,XS90
AIRPORT_ID,KLFK,KLFK
AIRPORT_ID,LERT,LERT
AIRPORT_ID,KJLN,KJLN
AIRPORT_ID,KFSD,KFSD
AIRPORT_ID,S03,S03
AIRPORT_ID,KBJC,KBJC
AIRPORT_ID,KSNY,KSNY
AIRPORT_ID,KMJX,KMJX
AIRPORT_ID,KDUH,KDUH
AIRPORT_ID,KBFL,KBFL
AIRPORT_ID,KPVG,KPVG
AIRPORT_ID,LSZH,LSZH
AIRPORT_ID,KJXN,KJXN
AIRPORT_ID,KALO,KALO
AIRPORT_ID,KIGX,KIGX
AIRPORT_ID,KRDD,KRDD
AIRPORT_ID,KCOF,KCOF
AIRPORT_ID,KCGI,KCGI
AIRPORT_ID,12V,12V
AIRPORT_ID,5TS9,5TS9
AIRPORT_ID,KBIV,KBIV
AIRPORT_ID,KGRI,KGRI
AIRPORT_ID,5A1,5A1
AIRPORT_ID,KMSO,KMSO
AIRPORT_ID,KBIS,KBIS
AIRPORT_ID,EDDF,EDDF
AIRPORT_ID,KMNM,KMNM
AIRPORT_ID,KPIR,KPIR
AIRPORT_ID,VIDP,VIDP
AIRPORT_ID,KMFD,KMFD
AIRPORT_ID,KBLI,KBLI
AIRPORT_ID,KEFD,KEFD
AIRPORT_ID,KFPK,KFPK
AIRPORT_ID,KPMP,KPMP
AIRPORT_ID,P19,P19
AIRPORT_ID,KRRQ,KRRQ
AIRPORT_ID,EDDT,EDDT
AIRPORT_ID,KANQ,KANQ
AIRPORT_ID,KATY,KATY
AIRPORT_ID,KUCY,KUCY
AIRPORT_ID,KLYH,KLYH
AIRPORT_ID,KMCW,KMCW
AIRPORT_ID,KTOA,KTOA
AIRPORT_ID,4D0,4D0
AIRPORT_ID,KGMU,KGMU
AIRPORT_ID,6D6,6D6
AIRPORT_ID,KLWC,KLWC
AIRPORT_ID,KSBY,KSBY
AIRPORT_ID,20N,20N
AIRPORT_ID,KASE,KASE
AIRPORT_ID,KOJC,KOJC
AIRPORT_ID,KFYV,KFYV
AIRPORT_ID,KGCN,KGCN
AIRPORT_ID,KHUT,KHUT
AIRPORT_ID,KMYF,KMYF
AIRPORT_ID,PHHN,PHHN
AIRPORT_ID,MMAA,MMAA
AIRPORT_ID,KFKL,KFKL
AIRPORT_ID,KMDQ,KMDQ
AIRPORT_ID,46N,46N
AIRPORT_ID,KBFM,KBFM
AIRPORT_ID,KVNC,KVNC
AIRPORT_ID,KCTJ,KCTJ
AIRPORT_ID,KMCN,KMCN
AIRPORT_ID,KCOE,KCOE
AIRPORT_ID,KCOI,KCOI
AIRPORT_ID,KHWD,KHWD
AIRPORT_ID,KCLM,KCLM
AIRPORT_ID,MDPC,MDPC
AIRPORT_ID,KGLH,KGLH
AIRPORT_ID,KVAD,KVAD
AIRPORT_ID,KPIB,KPIB
AIRPORT_ID,KFZY,KFZY
AIRPORT_ID,KNYG,KNYG
AIRPORT_ID,KOWB,KOWB
AIRPORT_ID,KMCE,KMCE
AIRPORT_ID,PACV,PACV
AIRPORT_ID,KAMN,KAMN
AIRPORT_ID,2LA0,2LA0
AIRPORT_ID,2R9,2R9
AIRPORT_ID,D09,D09
AIRPORT_ID,KBVI,KBVI
AIRPORT_ID,KPCZ,KPCZ
AIRPORT_ID,KSAW,KSAW
AIRPORT_ID,TISX,TISX
AIRPORT_ID,T40,T40
AIRPORT_ID,KBTN,KBTN
AIRPORT_ID,O22,O22
AIRPORT_ID,KESC,KESC
AIRPORT_ID,KHYI,KHYI
AIRPORT_ID,12Y,12Y
AIRPORT_ID,PASY,PASY
AIRPORT_ID,0V6,0V6
AIRPORT_ID,PASC,PASC
AIRPORT_ID,KGWB,KGWB
AIRPORT_ID,KHQZ,KHQZ
AIRPORT_ID,KASH,KASH
AIRPORT_ID,MHTG,MHTG
AIRPORT_ID,KZER,KZER
AIRPORT_ID,KFFZ,KFFZ
AIRPORT_ID,KAPN,KAPN
AIRPORT_ID,KJAC,KJAC
AIRPORT_ID,KMQI,KMQI
AIRPORT_ID,KSOA,KSOA
AIRPORT_ID,KMRC,KMRC
AIRPORT_ID,LFPO,LFPO
AIRPORT_ID,KJYO,KJYO
AIRPORT_ID,09R,09R
AIRPORT_ID,KIRK,KIRK
AIRPORT_ID,TJMZ,TJMZ
AIRPORT_ID,KBDU,KBDU
AIRPORT_ID,KCQX,KCQX
AIRPORT_ID,KSLK,KSLK
AIRPORT_ID,15TE,15TE
AIRPORT_ID,KLHX,KLHX
AIRPORT_ID,MMMY,MMMY
AIRPORT_ID,KUIN,KUIN
AIRPORT_ID,KGHG,KGHG
AIRPORT_ID,KSMX,KSMX
AIRPORT_ID,17N,17N
AIRPORT_ID,KTPF,KTPF
AIRPORT_ID,4LA6,4LA6
AIRPORT_ID,KVCB,KVCB
AIRPORT_ID,KLAW,KLAW
AIRPORT_ID,PHMK,PHMK
AIRPORT_ID,KTDZ,KTDZ
AIRPORT_ID,89D,89D
AIRPORT_ID,KPAN,KPAN
AIRPORT_ID,KONZ,KONZ
AIRPORT_ID,KSMD,KSMD
AIRPORT_ID,KGCD,KGCD
AIRPORT_ID,KENW,KENW
AIRPORT_ID,12N,12N
AIRPORT_ID,I62,I62
AIRPORT_ID,KMOD,KMOD
AIRPORT_ID,RCTP,RCTP
AIRPORT_ID,KRNT,KRNT
AIRPORT_ID,KRKD,KRKD
AIRPORT_ID,KIRS,KIRS
AIRPORT_ID,MSLP,MSLP
AIRPORT_ID,KMIC,KMIC
AIRPORT_ID,T05,T05
AIRPORT_ID,X35,X35
AIRPORT_ID,KSGT,KSGT
AIRPORT_ID,TNCM,TNCM
AIRPORT_ID,KRUT,KRUT
AIRPORT_ID,KEOP,KEOP
AIRPORT_ID,KIGQ,KIGQ
AIRPORT_ID,KTYQ,KTYQ
AIRPORT_ID,KMIV,KMIV
AIRPORT_ID,PGUM,PGUM
AIRPORT_ID,44N,44N
AIRPORT_ID,LTBA,LTBA
AIRPORT_ID,KBWD,KBWD
AIRPORT_ID,KFCM,KFCM
AIRPORT_ID,KBQK,KBQK
AIRPORT_ID,KSFF,KSFF
AIRPORT_ID,KRAC,KRAC
AIRPORT_ID,KDTN,KDTN
