SPECIES,WILDLIFE_TYPE,records
Yellow-bellied marmot,Other wildlife,6
Red-masked parakeet,Other wildlife,6
Arctic tern,Bird,6
White-winged crossbill,Other wildlife,6
Plains garter snake,Reptile,6
Cassin's finch,Other wildlife,6
Red-naped sapsucker,Other wildlife,6
Mallard/mottled duck complex,Bird,6
Moose,Other wildlife,6
Brown creeper,Other wildlife,6
Red phalarope,Other wildlife,6
Orioles,Other wildlife,6
Surf scoter,Other wildlife,6
Collared peccary,Other wildlife,6
Scaled quail,Other wildlife,6
Harris's hawk,Bird,6
Gray flycatcher,Terrestrial mammal,6
White-tailed prairie dog,Terrestrial mammal,6
Black kite,Bird,6
Western rat snake,Reptile,5
White-crested elaenia,Other wildlife,5
White-breasted nuthatch,Other wildlife,5
Ground squirrels,Terrestrial mammal,5
White-tailed hawk,Bird,5
Eastern rat snake,Reptile,5
Common gull,Bird,5
Horse,Other wildlife,5
Western diamondback rattlesnake,Reptile,5
Scaly-naped pigeon,Bird,5
"Gulls, terns, kittiwakes",Bird,5
Indian pipistrelle,Other wildlife,5
Muscovy duck,Bird,5
Brandt's cormorant,Other wildlife,5
King rail,Other wildlife,5
Fish crow,Other wildlife,5
Flammulated owl,Bird,5
American goshawk,Bird,5
Evening grosbeak,Other wildlife,5
Short-tailed hawk,Bird,5
Eurasian buzzard,Other wildlife,5
Indian silverbill,Other wildlife,5
Indiana bat,Bat,5
Roseate spoonbill,Other wildlife,5
Piping plover,Other wildlife,5
Monk parakeet,Other wildlife,5
Larks,Bird,5
Parrots,Other wildlife,5
Sulphur-bellied flycatcher,Terrestrial mammal,5
Red knot,Other wildlife,5
Common kingsnake,Reptile,5
Bewick's wren,Other wildlife,4
Ruffed grouse,Other wildlife,4
Chukar,Other wildlife,4
Northern water snake,Reptile,4
North American beaver,Other wildlife,4
Western pipistrelle,Bird,4
Swans,Other wildlife,4
Stilt sandpiper,Bird,4
Costa's hummingbird,Bird,4
Red-breasted sapsucker,Other wildlife,4
"Quails, pheasants",Other wildlife,4
Tree squirrels,Terrestrial mammal,4
Townsend's solitaire,Other wildlife,4
