model,feature_set,parameters,pr_auc,roc_auc,brier_score,log_loss
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8}",0.38608126854386204,0.8868619761610567,0.10718470801029209,0.3414157077335516
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8}",0.3856648866865197,0.8867431838420664,0.10731067233849119,0.34176130501861524
random_forest,extended_geographic,"{""model__max_depth"": 20, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2}",0.3790814611267152,0.8812855616714418,0.057348984702333176,0.20200044543631487
random_forest,airport_aware,"{""model__max_depth"": 12, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2}",0.3786431170720843,0.8847594458192459,0.12439022597396847,0.3817832641456555
random_forest,airport_aware,"{""model__max_depth"": 12, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10}",0.37176945302844694,0.884160946342387,0.1282819063008439,0.3914139267745447
logistic,extended_geographic,"{""model__C"": 5.0}",0.36732349345587056,0.8843429271936099,0.10347276225989667,0.3324144824322556
logistic,extended_geographic,"{""model__C"": 1.0}",0.3673093575320733,0.8843073195540136,0.10351063476447246,0.33252744189582883
logistic,airport_aware,"{""model__C"": 0.1}",0.3668278951287794,0.8853950675274546,0.10433757461622338,0.33452393772030853
logistic,extended_geographic,"{""model__C"": 0.1}",0.36673684400111617,0.8840688980598893,0.10375252423561059,0.3333893483322486
logistic,airport_aware,"{""model__C"": 1.0}",0.36448081914610975,0.8856091023263375,0.10403341050931379,0.33343824828374474
logistic,airport_aware,"{""model__C"": 5.0}",0.3633648237928271,0.8855934849405497,0.10400184205979977,0.3333401687872522
random_forest,airport_aware,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2}",0.3557264190182488,0.8686284189463098,0.046123834041781206,0.18370476151101936
random_forest,extended_geographic,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2}",0.34682082356375243,0.8692698986475274,0.046447334591222286,0.17536809622883537
