AIRPORT_ID,AIRPORT,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
KTRK,TRUKEE-TAHOE ARPT,12,4,8,33.33333333333333,13.811783989736135,60.9382412602386
KLXT,LEE'S SUMMIT MUNICIPAL ARPT,12,3,9,25.0,8.894003962896138,53.231033912065996
SUMU,INTL DE CARRASCO,12,3,9,25.0,8.894003962896138,53.231033912065996
KEBG,SOUTH TEXAS INTL ARPT AT EDINBURG,12,1,11,8.333333333333332,1.4864709450773477,35.38859217985952
KAAO,COLONEL JAMES JABARA ARPT,12,6,6,50.0,25.377817039342222,74.62218296065778
KBDN,BEND MUNICIPAL ARPT,12,2,10,16.666666666666664,4.696414761482223,44.80363573846727
KPVG,HAMPTON ROADS EXECUTIVE,12,7,5,58.333333333333336,31.95073356553728,80.67425380947535
LFSB,BASEL-MULHOUSE-FREIBURG,12,1,11,8.333333333333332,1.4864709450773477,35.38859217985952
KGGW,WOKAL FIELD/GLASGOW INTL ARPT,11,3,8,27.27272727272727,9.745880573921466,56.56502930102463
KIAB,MCCONNELL AIR FORCE BASE,11,2,9,18.181818181818183,5.136660067100063,47.69861375782448
SKRG,JOSE MARIA CORDOVE ARPT,11,1,10,9.090909090909092,1.6231752262825971,37.73646254862038
EINN,SHANNON INTL,11,3,8,27.27272727272727,9.745880573921466,56.56502930102463
WIII,SOEKARNO-HATTA,11,0,11,0.0,2.7755575615628914e-15,25.88400172488141
KGLH,GREENVILLE MID-DELTA ARPT,11,1,10,9.090909090909092,1.6231752262825971,37.73646254862038
KLWC,LAWRENCE MUNICIPAL  ARPT (KS),11,5,6,45.45454545454545,21.270957543988047,71.99122443100117
KIRK,KIRKSVILLE REGIONAL,11,1,10,9.090909090909092,1.6231752262825971,37.73646254862038
KILE,SKYLARK FIELD,11,4,7,36.36363636363637,15.166223614131383,64.62032231083627
KMBT,MURFREESBORO MUNICIPAL ARPT,11,2,9,18.181818181818183,5.136660067100063,47.69861375782448
DNMM,MURTALA MUHAMMED,11,1,10,9.090909090909092,1.6231752262825971,37.73646254862038
PAOM,NOME ARPT,11,2,9,18.181818181818183,5.136660067100063,47.69861375782448
45LA,AIR LOGICTICS N HELIPORT,11,2,9,18.181818181818183,5.136660067100063,47.69861375782448
KGYH,DONALDSON CENTER ARPT,11,4,7,36.36363636363637,15.166223614131383,64.62032231083627
KLDJ,LINDEN AIRPORT,11,7,4,63.63636363636363,35.37967768916373,84.83377638586862
MMAS,AQUASCALIENTES,11,0,11,0.0,2.7755575615628914e-15,25.88400172488141
KUUU,NEWPORT STATE ARPT,11,3,8,27.27272727272727,9.745880573921466,56.56502930102463
MMMZ,GENERAL RAFAEL BUELNA INTL,11,3,8,27.27272727272727,9.745880573921466,56.56502930102463
TAPA,V C BIRD INTL ARPT,10,0,10,0.0,0.0,27.75401687666166
