SPECIES,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
Purple martin,423,18,405,4.25531914893617,2.7083655759804834,6.62568246432299
Owls,411,34,377,8.27250608272506,5.980065433329254,11.337773471930007
Ruby-crowned kinglet,406,0,406,0.0,8.673617379884035e-17,0.9373377421911293
"Sandpipers, curlews, phalaropes, allies",405,19,386,4.691358024691358,3.0236281281965023,7.210555477385709
Unknown bird or bat,398,10,388,2.512562814070352,1.370374221915654,4.562709858975921
Egrets,396,36,360,9.090909090909092,6.638815922292303,12.329095370579672
Snowy owl,385,33,352,8.571428571428571,6.168270806635609,11.793181877439347
Common grackle,384,9,375,2.34375,1.2378431449603735,4.393734282525487
Black vulture,383,244,139,63.70757180156657,58.77777556153697,68.3651170332615
Common yellowthroat,366,3,363,0.819672131147541,0.2791412295535029,2.3818898713286045
California gull,356,34,322,9.550561797752808,6.91503191966874,13.049752585513538
Big brown bat,351,0,351,0.0,0.0,1.082623908808888
American golden-plover,340,10,330,2.941176470588235,1.605268857724054,5.328621631384883
Least sandpiper,328,2,326,0.6097560975609756,0.16737318701209836,2.1956819573700406
Western sandpiper,323,10,313,3.0959752321981426,1.6901853451823834,5.604357332371512
Vesper bats,320,5,315,1.5625,0.6691954469849172,3.6049929216496253
Ovenbird,319,4,315,1.2539184952978055,0.4886676726836795,3.1792611196404823
Red fox,308,6,302,1.948051948051948,0.8957808041503312,4.184234177814872
Black-bellied plover,289,11,278,3.8062283737024223,2.1383821502960183,6.686047165757437
Wilson's snipe,286,17,269,5.944055944055944,3.743916427932957,9.31204241303397
Franklin's gull,285,20,265,7.017543859649122,4.588348038077987,10.590075014557089
Spotted dove,282,6,276,2.127659574468085,0.9786734390230978,4.563417005474834
Northern pintail,282,128,154,45.39007092198582,39.679916425480286,51.224136728434324
House finch,280,2,278,0.7142857142857143,0.19609785266548138,2.566569776040107
Chipping sparrow,263,4,259,1.520912547528517,0.5929916108216939,3.844697265275586
Swainson's hawk,260,39,221,15.0,11.170942925181858,19.8482746659789
Hoary bat,259,9,250,3.474903474903475,1.8387145093751156,6.471081200284237
Double-crested cormorant,257,78,179,30.35019455252918,25.052423578849105,36.22675888284411
Merlin,257,3,254,1.1673151750972763,0.3977646450290983,3.3752531558124854
American woodcock,256,14,242,5.46875,3.285198767832931,8.96903611988328
White-tailed jackrabbit,250,0,250,0.0,0.0,1.5133847249623387
Swamp sparrow,242,3,239,1.2396694214876034,0.42247100651001784,3.5807570883282844
Northern flicker,237,16,221,6.751054852320674,4.19786219219256,10.683952245180384
